nombreDisques;nombrePiques;nombreCoups
3;4;5
3;5;5
3;6;5
3;7;5
3;8;5
3;9;5
3;10;5
3;11;5
3;12;5
3;13;5
3;14;5
3;15;5
3;16;5
3;17;5
3;18;5
3;19;5
3;20;5
3;21;5
3;22;5
3;23;5
3;24;5
3;25;5
3;26;5
3;27;5
3;28;5
3;29;5
3;30;5
3;31;5
3;32;5
3;33;5
3;34;5
3;35;5
3;36;5
3;37;5
3;38;5
3;39;5
3;40;5
4;4;9
4;5;9
4;6;9
4;7;9
4;8;9
4;9;9
4;10;9
4;11;9
4;12;9
4;13;9
4;14;9
4;15;9
4;16;9
4;17;9
4;18;9
4;19;9
4;20;9
4;21;9
4;22;9
4;23;9
4;24;9
4;25;9
4;26;9
4;27;9
4;28;9
4;29;9
4;30;9
4;31;9
4;32;9
4;33;9
4;34;9
4;35;9
4;36;9
4;37;9
4;38;9
4;39;9
4;40;9
5;4;13
5;5;13
5;6;13
5;7;13
5;8;13
5;9;13
5;10;13
5;11;13
5;12;13
5;13;13
5;14;13
5;15;13
5;16;13
5;17;13
5;18;13
5;19;13
5;20;13
5;21;13
5;22;13
5;23;13
5;24;13
5;25;13
5;26;13
5;27;13
5;28;13
5;29;13
5;30;13
5;31;13
5;32;13
5;33;13
5;34;13
5;35;13
5;36;13
5;37;13
5;38;13
5;39;13
5;40;13
6;4;17
6;5;15
6;6;15
6;7;15
6;8;15
6;9;15
6;10;15
6;11;15
6;12;15
6;13;15
6;14;15
6;15;15
6;16;15
6;17;15
6;18;15
6;19;15
6;20;15
6;21;15
6;22;15
6;23;15
6;24;15
6;25;15
6;26;15
6;27;15
6;28;15
6;29;15
6;30;15
6;31;15
6;32;15
6;33;15
6;34;15
6;35;15
6;36;15
6;37;15
6;38;15
6;39;15
6;40;15
7;4;25
7;5;23
7;6;23
7;7;23
7;8;23
7;9;23
7;10;23
7;11;23
7;12;23
7;13;23
7;14;23
7;15;23
7;16;23
7;17;23
7;18;23
7;19;23
7;20;23
7;21;23
7;22;23
7;23;23
7;24;23
7;25;23
7;26;23
7;27;23
7;28;23
7;29;23
7;30;23
7;31;23
7;32;23
7;33;23
7;34;23
7;35;23
7;36;23
7;37;23
7;38;23
7;39;23
7;40;23
8;4;33
8;5;31
8;6;31
8;7;31
8;8;31
8;9;31
8;10;31
8;11;31
8;12;31
8;13;31
8;14;31
8;15;31
8;16;31
8;17;31
8;18;31
8;19;31
8;20;31
8;21;31
8;22;31
8;23;31
8;24;31
8;25;31
8;26;31
8;27;31
8;28;31
8;29;31
8;30;31
8;31;31
8;32;31
8;33;31
8;34;31
8;35;31
8;36;31
8;37;31
8;38;31
8;39;31
8;40;31
9;4;41
9;5;35
9;6;35
9;7;35
9;8;35
9;9;35
9;10;35
9;11;35
9;12;35
9;13;35
9;14;35
9;15;35
9;16;35
9;17;35
9;18;35
9;19;35
9;20;35
9;21;35
9;22;35
9;23;35
9;24;35
9;25;35
9;26;35
9;27;35
9;28;35
9;29;35
9;30;35
9;31;35
9;32;35
9;33;35
9;34;35
9;35;35
9;36;35
9;37;35
9;38;35
9;39;35
9;40;35
10;4;49
10;5;39
10;6;39
10;7;39
10;8;39
10;9;39
10;10;39
10;11;39
10;12;39
10;13;39
10;14;39
10;15;39
10;16;39
10;17;39
10;18;39
10;19;39
10;20;39
10;21;39
10;22;39
10;23;39
10;24;39
10;25;39
10;26;39
10;27;39
10;28;39
10;29;39
10;30;39
10;31;39
10;32;39
10;33;39
10;34;39
10;35;39
10;36;39
10;37;39
10;38;39
10;39;39
10;40;39
11;4;65
11;5;55
11;6;55
11;7;55
11;8;55
11;9;55
11;10;55
11;11;55
11;12;55
11;13;55
11;14;55
11;15;55
11;16;55
11;17;55
11;18;55
11;19;55
11;20;55
11;21;55
11;22;55
11;23;55
11;24;55
11;25;55
11;26;55
11;27;55
11;28;55
11;29;55
11;30;55
11;31;55
11;32;55
11;33;55
11;34;55
11;35;55
11;36;55
11;37;55
11;38;55
11;39;55
11;40;55
12;4;81
12;5;71
12;6;71
12;7;71
12;8;71
12;9;71
12;10;71
12;11;71
12;12;71
12;13;71
12;14;71
12;15;71
12;16;71
12;17;71
12;18;71
12;19;71
12;20;71
12;21;71
12;22;71
12;23;71
12;24;71
12;25;71
12;26;71
12;27;71
12;28;71
12;29;71
12;30;71
12;31;71
12;32;71
12;33;71
12;34;71
12;35;71
12;36;71
12;37;71
12;38;71
12;39;71
12;40;71
13;4;97
13;5;79
13;6;79
13;7;79
13;8;79
13;9;79
13;10;79
13;11;79
13;12;79
13;13;79
13;14;79
13;15;79
